session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.7,-1,-1
1,A,9,9,0.9,0.8,0.95,9,8
2,A,10,10,0.95,0.75,0.95,10,7
3,B,9,6,0.96,0.6,0.98,10,6
4,B,10,6,0.96,0.6,0.98,9,6
5,B,10,8,0.93,0.65,0.97,8,8
6,A,9,10,0.96,0.65,0.97,10,6
7,B,10,5,0.93,0.6,0.97,8,5
8,B,10,7,0.94,0.6,0.97,10,7
9,B,10,5,0.94,0.58,0.9,6,5
10,A,10,8,0.9,0.58,0.96,8,5
11,A,10,8,0.87,0.56,0.96,8,5
12,A,10,9,0.9,0.55,0.96,9,5
13,A,10,10,0.9,0.55,0.97,10,6
14,A,10,9,0.9,0.54,0.97,9,4
15,B,10,8,0.9,0.55,0.97,9,8
