session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.81,0.82,0.92,-1,-1
1,B,10,6,0.95,0.45,0.82,10,6
2,B,10,6,0.9,0.45,0.99,9,6
3,B,9,5,0.9,0.35,0.99,9,5
4,A,10,9,0.9,0.65,0.9,9,7
5,A,10,10,0.95,0.53,0.9,10,6
6,B,10,6,0.95,0.53,0.95,9,6
7,A,10,9,0.9,0.53,0.95,9,5
8,A,10,9,0.9,0.53,0.95,9,7
9,A,9,9,0.9,0.6,0.99,9,8
10,B,10,7,0.9,0.66,0.99,9,7
11,B,10,4,0.9,0.5,0.99,10,4
12,A,10,9,0.9,0.5,0.99,9,7
13,B,10,7,0.9,0.59,0.99,8,7
14,B,10,6,0.9,0.59,0.99,8,6
15,A,10,10,0.94,0.59,0.99,10,6
