session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.9,-1,-1
1,B,10,7,0.9,0.7,0.9,9,7
2,B,10,4,0.9,0.5,0.9,8,4
3,B,10,8,0.9,0.5,0.9,9,8
4,B,10,7,0.9,0.4,0.9,10,7
5,A,10,8,0.8,0.5,0.95,8,6
6,A,10,10,0.9,0.5,0.9,10,7
7,B,10,8,0.9,0.5,0.85,8,8
8,B,10,5,0.9,0.4,0.9,10,5
9,B,10,6,0.85,0.4,0.9,8,6
10,B,10,5,0.8,0.35,0.9,7,5
11,A,10,10,0.9,0.35,0.85,10,7
12,A,10,10,0.95,0.35,0.6,10,9
13,A,10,8,0.8,0.4,0.65,8,8
14,A,10,9,0.85,0.4,0.7,9,6
15,A,10,7,0.8,0.4,0.8,7,5
