session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.9,-1,-1
1,B,9,6,0.5,0.38,0.95,7,6
2,A,10,10,0.99,0.38,0.95,10,6
3,B,10,3,0.9,0.15,0.95,7,3
4,B,10,6,0.9,0.3,0.95,10,6
5,A,10,8,0.8,0.3,0.95,8,8
6,A,10,8,0.7,0.3,0.95,8,5
7,B,10,6,0.7,0.3,0.95,10,6
8,B,9,5,0.7,0.3,0.95,9,5
9,B,10,8,0.7,0.3,0.95,10,8
10,A,10,10,0.7,0.3,0.95,10,8
11,B,10,6,0.7,0.3,0.95,9,6
12,B,10,6,0.7,0.3,0.95,9,6
13,A,9,9,0.7,0.3,0.95,9,6
14,B,10,3,0.7,0.3,0.95,10,3
15,A,10,9,0.7,0.3,0.95,9,4
