session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.6,-1,-1
1,A,10,10,0.65,0.5,0.6,10,6
2,B,10,8,0.7,0.7,0.75,10,8
3,B,10,6,0.78,0.65,0.8,10,6
4,B,10,6,0.8,0.5,0.8,10,6
5,B,10,7,0.83,0.6,0.85,9,7
6,A,10,9,0.85,0.6,0.9,9,8
7,B,10,4,0.85,0.35,0.9,9,4
8,A,10,10,0.9,0.35,0.9,10,6
9,B,10,6,0.85,0.3,0.92,9,6
10,A,10,10,0.9,0.4,0.9,10,7
11,A,10,9,0.9,0.4,0.95,9,5
12,A,10,9,0.9,0.4,0.92,9,8
13,B,9,5,0.9,0.45,0.93,9,5
14,A,10,10,0.9,0.45,0.9,10,9
15,A,10,10,0.9,0.41,0.95,10,5
