session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.8,0.99,-1,-1
1,A,10,10,0.95,0.5,0.99,10,6
2,A,10,9,0.9,0.85,0.99,9,6
3,A,9,9,0.9,0.85,0.99,9,5
4,B,10,7,0.9,0.7,0.99,9,7
5,B,10,6,0.9,0.6,0.95,10,6
6,A,10,9,0.9,0.55,0.99,9,6
7,B,10,5,0.9,0.5,0.99,9,5
8,B,10,7,0.9,0.6,0.99,9,7
9,B,10,8,0.9,0.65,0.99,9,8
10,A,10,9,0.9,0.65,0.99,9,7
11,A,10,10,0.92,0.6,0.99,10,4
12,B,9,7,0.92,0.65,0.99,9,7
13,A,10,8,0.92,0.6,0.99,8,7
14,A,10,8,0.89,0.6,0.99,8,6
15,B,10,6,0.89,0.6,0.99,10,6
