session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.8,0.99,-1,-1
1,A,10,9,0.85,0.75,0.99,9,7
2,B,10,6,0.85,0.7,0.99,7,6
3,A,10,7,0.75,0.7,0.99,7,5
4,B,10,4,0.8,0.6,0.99,10,4
5,B,10,6,0.8,0.65,0.99,10,6
6,B,10,6,0.8,0.65,0.99,10,6
7,B,9,6,0.83,0.6,0.99,9,6
8,B,10,8,0.83,0.7,0.99,9,8
9,A,10,9,0.8,0.7,0.99,9,7
10,B,10,7,0.8,0.7,0.99,8,7
11,A,10,10,0.85,0.7,0.99,10,5
12,B,10,6,0.85,0.65,0.99,9,6
13,B,9,10,0.85,0.7,0.99,9,10
14,B,10,8,0.85,0.65,0.99,10,8
15,A,10,8,0.82,0.6,0.99,8,7
