session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.3,0.3,0.9,-1,-1
1,B,10,5,0.9,0.2,0.9,9,5
2,A,10,10,0.95,0.35,0.85,10,6
3,B,9,3,0.95,0.3,0.87,10,3
4,B,10,8,0.95,0.38,0.9,9,8
5,A,10,9,0.95,0.42,0.89,9,6
6,A,10,10,0.95,0.45,0.87,10,8
7,A,10,9,0.94,0.45,0.8,9,10
8,A,10,8,0.9,0.45,0.82,8,5
9,A,10,10,0.92,0.46,0.8,10,7
10,A,10,9,0.92,0.45,0.8,9,5
11,B,10,4,0.9,0.35,0.78,8,4
12,A,10,10,0.93,0.35,0.77,10,6
13,A,10,10,0.94,0.37,0.77,10,8
14,A,10,8,0.91,0.37,0.76,8,3
15,A,10,10,0.93,0.37,0.75,10,4
