session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.7,0.7,0.6,-1,-1
1,B,10,4,0.5,0.01,0.5,9,4
2,B,10,9,0.3,0.8,0.5,10,9
3,B,10,6,0.3,0.25,0.4,10,6
4,B,10,7,0.25,0.25,0.35,9,7
5,A,10,10,0.35,0.2,0.4,10,4
6,B,9,7,0.4,0.2,0.35,9,7
7,B,10,4,0.4,0.01,0.35,9,4
8,B,10,4,0.35,0.01,0.3,8,4
9,B,10,5,0.4,0.01,0.25,9,5
10,B,10,7,0.45,0.1,0.25,10,7
11,B,10,4,0.5,0.01,0.3,10,4
12,B,10,6,0.5,0.01,0.36,9,6
13,B,10,3,0.5,0.01,0.3,9,3
14,A,10,10,0.75,0.01,0.3,10,7
15,B,10,3,0.75,0.01,0.3,9,3
