session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.75,0.9,-1,-1
1,A,10,9,0.9,0.75,0.95,9,7
2,A,10,8,0.9,0.7,0.9,8,4
3,A,10,9,0.9,0.6,0.9,9,8
4,A,10,10,0.95,0.5,0.9,10,7
5,B,10,6,0.88,0.55,0.9,8,6
6,B,10,7,0.9,0.6,0.9,10,7
7,A,10,8,0.85,0.6,0.9,8,8
8,A,9,10,0.87,0.5,0.9,10,5
9,A,10,8,0.78,0.5,0.9,8,6
10,A,10,7,0.7,0.4,0.95,7,5
11,B,10,7,0.86,0.5,0.95,10,7
12,B,10,9,0.9,0.86,0.9,10,9
13,B,10,8,0.8,0.8,0.95,8,8
14,B,10,6,0.82,0.6,0.95,9,6
15,B,9,5,0.82,0.6,0.95,7,5
