session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.3,0.3,0.5,-1,-1
1,A,10,9,0.5,0.2,0.5,9,4
2,A,10,10,0.65,0.5,0.6,10,9
3,A,10,10,0.6,0.25,0.55,10,6
4,A,10,9,0.65,0.25,0.6,9,7
5,B,10,4,0.4,0.15,0.6,10,4
6,A,10,9,0.55,0.15,0.55,9,7
7,A,10,9,0.65,0.1,0.6,9,4
8,A,10,8,0.7,0.1,0.6,8,4
9,A,10,9,0.75,0.1,0.65,9,5
10,A,10,10,0.8,0.1,0.7,10,7
11,A,10,10,0.8,0.1,0.7,10,4
12,A,10,9,0.8,0.1,0.7,9,6
13,A,10,9,0.8,0.1,0.7,9,3
14,B,10,7,0.8,0.25,0.75,10,7
15,A,10,9,0.8,0.2,0.75,9,3
