session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.7,0.7,0.9,-1,-1
1,B,9,5,0.8,0.5,0.9,9,5
2,B,10,7,0.99,0.7,0.9,10,7
3,A,9,10,0.99,0.65,0.9,10,6
4,A,10,8,0.8,0.55,0.99,8,6
5,A,10,8,0.8,0.35,0.99,8,4
6,A,10,8,0.8,0.51,0.99,8,7
7,A,10,7,0.7,0.65,0.99,7,7
8,B,10,4,0.9,0.4,0.99,10,4
9,B,10,7,0.9,0.7,0.99,9,7
10,A,10,9,0.9,0.7,0.99,9,7
11,A,9,9,0.9,0.41,0.9,9,5
12,A,10,10,0.99,0.51,0.99,10,6
13,A,10,9,0.9,0.61,0.99,9,7
14,A,9,7,0.7,0.2,0.9,7,3
15,B,10,6,0.7,0.6,0.99,7,6
