session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.01,0.01,0.5,-1,-1
1,A,10,9,0.8,0.51,0.89,9,5
2,A,10,10,0.99,0.8,0.91,10,7
3,B,10,6,0.99,0.65,0.91,10,6
4,B,10,6,0.82,0.55,0.96,8,6
5,B,10,4,0.78,0.35,0.99,8,4
6,B,10,7,0.78,0.51,0.99,8,7
7,B,10,7,0.7,0.65,0.99,7,7
8,A,10,10,0.9,0.4,0.99,10,4
9,A,9,9,0.9,0.6,0.99,9,7
10,B,10,7,0.9,0.7,0.99,9,7
11,B,10,5,0.9,0.41,0.99,9,5
12,B,10,6,0.9,0.51,0.99,10,6
13,B,8,7,0.9,0.61,0.99,9,7
14,B,10,3,0.8,0.2,0.99,7,3
15,A,10,7,0.7,0.5,0.99,7,6
