session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.75,0.9,0.95,-1,-1
1,A,10,8,0.8,0.6,0.85,8,6
2,A,10,9,0.9,0.6,0.85,9,7
3,B,10,4,0.9,0.6,0.95,9,4
4,A,10,10,0.95,0.65,0.95,10,7
5,B,10,10,0.95,0.85,0.95,10,10
6,A,10,10,0.95,0.83,0.95,10,6
7,A,10,10,0.99,0.83,0.99,10,7
8,B,10,6,0.9,0.78,0.99,8,6
9,A,10,10,0.95,0.87,0.99,10,5
10,A,10,9,0.95,0.88,0.99,9,9
11,A,10,8,0.9,0.88,0.99,8,9
12,B,10,6,0.9,0.75,0.99,10,6
13,A,10,10,0.92,0.72,0.99,10,2
14,B,10,5,0.95,0.7,0.99,10,5
15,A,10,10,0.95,0.67,0.99,10,3
