session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.8,0.99,-1,-1
1,A,10,10,0.88,0.8,0.99,10,8
2,A,9,8,0.8,0.71,0.99,8,5
3,A,9,10,0.85,0.7,0.99,10,6
4,B,10,5,0.85,0.5,0.99,10,5
5,B,10,7,0.9,0.5,0.99,10,7
6,B,10,5,0.9,0.5,0.99,8,5
7,B,9,8,0.9,0.5,0.99,9,8
8,B,10,3,0.9,0.35,0.99,9,3
9,A,10,9,0.9,0.4,0.99,9,7
10,A,10,10,0.9,0.4,0.99,10,7
11,A,10,10,0.95,0.4,0.99,10,7
12,B,10,5,0.95,0.4,0.99,9,5
13,A,10,9,0.95,0.4,0.99,9,7
14,A,9,9,0.9,0.4,0.99,9,5
15,A,10,10,0.9,0.4,0.99,10,8
