session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.8,0.8,-1,-1
1,A,10,10,0.9,0.8,0.85,10,7
2,A,10,10,0.95,0.85,0.9,10,8
3,B,8,3,0.95,0.5,0.95,10,3
4,A,10,9,0.95,0.65,0.97,9,6
5,A,10,9,0.95,0.65,0.97,9,7
6,B,10,3,0.95,0.5,0.98,9,3
7,B,10,6,0.95,0.55,0.98,9,6
8,A,10,10,0.95,0.6,0.98,10,9
9,A,10,10,0.95,0.65,0.98,10,7
10,A,10,9,0.95,0.55,0.98,9,4
11,B,10,7,0.95,0.6,0.99,8,7
12,A,10,9,0.92,0.6,0.99,9,8
13,A,10,8,0.9,0.65,0.99,8,8
14,B,9,6,0.9,0.65,0.99,9,6
15,B,10,7,0.85,0.7,0.99,8,7
