session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.5,-1,-1
1,B,9,10,0.6,0.55,0.5,8,10
2,B,10,6,0.65,0.45,0.5,10,6
3,A,10,8,0.7,0.45,0.5,8,7
4,B,10,5,0.65,0.4,0.5,8,5
5,B,10,6,0.7,0.42,0.55,8,6
6,B,10,7,0.75,0.45,0.55,9,7
7,B,9,6,0.75,0.5,0.55,10,6
8,B,9,5,0.75,0.4,0.55,9,5
9,A,10,9,0.8,0.4,0.55,9,7
10,B,10,4,0.8,0.2,0.6,8,4
11,B,10,7,0.8,0.15,0.6,9,7
12,B,9,7,0.8,0.2,0.6,9,7
13,A,10,8,0.75,0.2,0.6,8,7
14,B,10,10,0.75,0.3,0.65,9,10
15,B,10,7,0.8,0.4,0.65,9,7
