session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.65,0.65,0.85,-1,-1
1,B,10,7,0.9,0.7,0.95,10,7
2,B,10,8,0.9,0.8,0.99,10,8
3,A,10,10,0.97,0.7,0.99,10,3
4,B,10,6,0.97,0.65,0.99,9,6
5,B,9,7,0.97,0.65,0.99,9,7
6,A,10,9,0.95,0.55,0.95,9,3
7,A,10,9,0.9,0.55,0.95,9,6
8,B,10,9,0.9,0.6,0.99,10,9
9,B,9,7,0.95,0.65,0.99,10,7
10,B,10,4,0.95,0.55,0.99,9,4
11,A,10,8,0.9,0.55,0.95,8,7
12,B,10,8,0.9,0.6,0.99,9,8
13,B,10,8,0.9,0.65,0.97,8,8
14,A,10,9,0.9,0.65,0.97,9,6
15,A,10,8,0.85,0.68,0.99,8,7
