session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.8,0.8,0.99,-1,-1
1,B,10,7,0.85,0.7,0.99,9,7
2,A,9,7,0.7,0.7,0.99,7,6
3,B,9,5,0.72,0.6,0.95,7,5
4,A,10,10,0.8,0.6,0.99,10,4
5,A,10,10,0.85,0.62,0.95,10,6
6,A,9,10,0.86,0.62,0.95,10,6
7,A,10,9,0.86,0.62,0.95,9,6
8,A,10,9,0.86,0.65,0.9,9,8
9,B,10,7,0.86,0.65,0.95,9,7
10,A,10,8,0.83,0.65,0.95,8,7
11,B,10,5,0.83,0.6,0.99,10,5
12,A,10,9,0.85,0.6,0.95,9,6
13,A,10,9,0.86,0.6,0.85,9,10
14,A,10,10,0.86,0.6,0.95,10,8
15,B,10,7,0.86,0.62,0.95,8,7
