session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.9,0.9,0.95,-1,-1
1,B,10,8,0.87,0.8,0.95,9,8
2,B,6,7,0.95,0.7,0.95,10,7
3,A,10,10,0.98,0.6,0.98,10,6
4,A,10,9,0.95,0.6,0.98,9,6
5,A,10,8,0.9,0.65,0.98,8,8
6,B,10,6,0.95,0.62,0.98,10,6
7,A,10,8,0.9,0.62,0.98,8,5
8,A,10,10,0.95,0.61,0.98,10,7
9,A,10,6,0.81,0.59,0.98,6,5
10,B,10,5,0.88,0.55,0.98,8,5
11,B,10,5,0.87,0.53,0.98,8,5
12,B,10,5,0.88,0.52,0.98,9,5
13,B,10,6,0.89,0.54,0.98,10,6
14,B,10,4,0.9,0.5,0.98,9,4
15,A,10,9,0.9,0.53,0.98,9,8
