session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.5,-1,-1
1,B,10,4,0.64,0.32,0.29,9,4
2,A,10,10,0.99,0.99,0.92,10,6
3,B,10,3,0.72,0.73,0.69,9,3
4,B,10,5,0.51,0.51,0.57,9,5
5,A,10,8,0.79,0.43,0.82,8,6
6,B,10,4,0.92,0.38,0.75,9,4
7,B,10,8,0.89,0.83,0.8,9,8
8,A,10,9,0.89,0.25,0.67,9,3
9,B,9,4,0.89,0.52,0.79,8,4
10,A,10,6,0.68,0.35,0.61,6,6
11,A,10,7,0.71,0.4,0.61,7,7
12,A,10,8,0.82,0.66,0.61,8,7
13,B,9,6,0.82,0.66,0.71,8,6
14,B,10,5,0.76,0.66,0.71,8,5
15,A,10,7,0.7,0.56,0.91,7,7
