session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.27,0.81,0.9,-1,-1
1,A,10,7,0.5,0.5,0.9,7,6
2,B,10,6,0.6,0.3,0.8,10,6
3,A,10,7,0.65,0.3,0.8,7,3
4,A,10,10,0.9,0.3,0.99,10,6
5,B,10,8,0.9,0.5,0.99,8,8
6,B,9,5,0.9,0.2,0.99,8,5
7,A,10,10,0.99,0.2,0.99,10,6
8,A,10,9,0.9,0.2,0.99,9,5
9,A,10,10,0.99,0.2,0.99,10,8
10,B,10,8,0.8,0.3,0.99,10,8
11,A,9,9,0.8,0.3,0.99,9,6
12,A,9,9,0.8,0.3,0.99,9,6
13,B,9,6,0.75,0.3,0.99,9,6
14,A,10,10,0.85,0.3,0.99,10,3
15,B,10,4,0.85,0.3,0.99,9,4
