session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.7,0.7,0.9,-1,-1
1,A,10,8,0.75,0.6,0.85,8,10
2,A,10,10,0.75,0.5,0.9,10,6
3,B,9,7,0.75,0.55,0.9,8,7
4,A,10,8,0.8,0.4,0.95,8,5
5,A,8,8,0.8,0.4,0.95,8,6
6,A,10,9,0.85,0.4,0.95,9,7
7,A,10,10,0.85,0.45,0.95,10,6
8,A,10,9,0.85,0.45,0.95,9,5
9,B,10,7,0.85,0.5,0.95,9,7
10,A,10,8,0.8,0.4,0.95,8,4
11,A,9,9,0.85,0.3,0.95,9,7
12,A,10,9,0.85,0.3,0.95,9,7
13,B,10,7,0.85,0.4,0.9,8,7
14,A,9,9,0.85,0.4,0.9,9,10
15,A,9,9,0.85,0.4,0.9,9,7
