session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.7,0.7,0.9,-1,-1
1,A,10,9,0.9,0.2,0.9,9,5
2,B,10,6,0.95,0.5,0.9,10,6
3,A,10,10,0.95,0.35,0.9,10,3
4,A,10,9,0.95,0.4,0.95,9,8
5,B,10,6,0.97,0.5,0.95,9,6
6,B,9,8,0.95,0.65,0.95,10,8
7,B,10,10,0.94,0.8,0.95,9,10
8,B,10,5,0.9,0.65,0.95,8,5
9,B,10,7,0.92,0.7,0.95,10,7
10,B,10,5,0.92,0.6,0.95,9,5
11,A,10,8,0.9,0.5,0.95,8,4
12,B,10,6,0.92,0.5,0.95,10,6
13,B,10,8,0.94,0.65,0.95,10,8
14,B,10,3,0.91,0.47,0.95,8,3
15,B,10,4,0.93,0.43,0.95,10,4
