session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.01,0.01,0.5,-1,-1
1,B,10,2,0.8,0.01,0.99,10,2
2,A,10,10,0.8,0.01,0.9,10,6
3,A,10,9,0.7,0.01,0.9,9,9
4,B,9,6,0.7,0.01,0.95,9,6
5,B,10,4,0.7,0.01,0.96,10,4
6,B,10,8,0.7,0.01,0.96,10,8
7,B,10,5,0.7,0.01,0.99,9,5
8,A,10,10,0.7,0.01,0.99,10,5
9,B,10,8,0.7,0.01,0.99,8,8
10,A,10,8,0.45,0.01,0.95,8,7
11,B,10,8,0.45,0.01,0.95,9,8
12,B,10,5,0.45,0.01,0.95,10,5
13,B,10,7,0.45,0.01,0.95,9,7
14,A,10,9,0.45,0.01,0.95,9,7
15,A,10,9,0.45,0.01,0.95,9,6
