session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.7,0.71,0.81,-1,-1
1,A,9,10,0.81,0.33,0.87,10,2
2,B,10,6,0.81,0.26,0.87,10,6
3,B,10,9,0.75,0.32,0.89,9,9
4,A,10,9,0.71,0.17,0.89,9,6
5,A,10,10,0.71,0.09,0.94,10,4
6,A,10,10,0.77,0.04,0.96,10,8
7,A,10,9,0.73,0.04,0.96,9,5
8,B,9,5,0.7,0.02,0.96,10,5
9,A,10,8,0.65,0.02,0.96,8,8
10,B,10,7,0.61,0.07,0.91,8,7
11,A,9,9,0.74,0.07,0.91,9,8
12,A,10,10,0.8,0.07,0.91,10,5
13,A,10,9,0.75,0.05,0.91,9,7
14,B,10,7,0.75,0.1,0.91,9,7
15,B,10,6,0.75,0.1,0.91,9,6
