session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.81,-1,-1
1,B,10,6,0.5,0.5,0.81,10,6
2,A,10,10,0.7,0.5,0.81,10,8
3,A,9,10,0.83,0.5,0.81,10,6
4,A,10,10,0.9,0.5,0.81,10,6
5,A,10,9,0.87,0.5,0.81,9,7
6,B,10,8,0.7,0.77,0.8,9,8
7,A,10,9,0.85,0.3,0.8,9,4
8,B,10,6,0.85,0.5,0.8,10,6
9,A,10,9,0.85,0.24,0.8,9,6
10,B,10,7,0.85,0.58,0.8,10,7
11,B,10,5,0.83,0.45,0.8,9,5
12,B,10,8,0.83,0.71,0.8,9,8
13,A,10,9,0.83,0.37,0.8,9,5
14,B,10,9,0.86,0.81,0.85,10,9
15,B,9,5,0.86,0.4,0.85,10,5
