session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.5,0.5,0.98,-1,-1
1,A,10,9,0.4,0.35,0.98,9,4
2,B,10,6,0.5,0.3,0.98,10,6
3,A,10,9,0.75,0.5,0.98,9,3
4,A,10,9,0.85,0.5,0.98,9,5
5,B,10,6,0.8,0.5,0.98,8,6
6,A,10,9,0.9,0.4,0.98,9,4
7,A,10,9,0.9,0.5,0.98,9,8
8,B,10,3,0.9,0.25,0.98,9,3
9,A,10,8,0.85,0.25,0.98,8,4
10,B,10,6,0.8,0.35,0.98,6,6
11,B,10,7,0.8,0.45,0.98,7,7
12,B,10,7,0.85,0.55,0.98,8,7
13,A,10,8,0.85,0.55,0.98,8,6
14,A,10,8,0.85,0.55,0.98,8,5
15,B,10,7,0.85,0.55,0.98,7,7
